# Mimaki 3DUJ-safe color manifest
# ICC profile     : C:\Windows\System32\spool\drivers\color\CoatedFOGRA39.icc
# deltaE threshold: 0.75
# Safe chromatic  : 188
# K-ramp added    : 7
# Total swatches  : 195
# Sorted by hue.
# Columns: NAME | #HEX | RGB | CMYK% | dE
#--------------------------------------------------------------------------------------------
soft-fair-orange-02        | #DE925B | RGB(222,146, 91) | CMYK( 11, 50, 71,  2)% | dE=0.55
mid-dusty-orange-04        | #AD7A57 | RGB(173,122, 87) | CMYK( 26, 52, 67, 18)% | dE=0.61
soft-vivid-orange          | #ED8B40 | RGB(237,139, 64) | CMYK(  2, 55, 84,  0)% | dE=0.40
deep-dusty-orange-02       | #6F4322 | RGB(111, 67, 34) | CMYK( 36, 70, 99, 50)% | dE=0.54
mid-dusty-orange-05        | #8E5E3C | RGB(142, 94, 60) | CMYK( 31, 60, 80, 33)% | dE=0.71
soft-dusty-orange-08       | #EFB791 | RGB(239,183,145) | CMYK(  4, 35, 46,  0)% | dE=0.75
deep-dusty-amber           | #5C4A36 | RGB( 92, 74, 54) | CMYK( 46, 56, 75, 57)% | dE=0.64
mid-dusty-amber-03         | #A37F51 | RGB(163,127, 81) | CMYK( 29, 45, 72, 22)% | dE=0.46
soft-vivid-amber-02        | #D9962F | RGB(217,150, 47) | CMYK( 13, 45, 94,  3)% | dE=0.31
mid-fair-amber             | #AE7C34 | RGB(174,124, 52) | CMYK( 25, 49, 92, 18)% | dE=0.52
soft-fair-amber-02         | #CF9A50 | RGB(207,154, 80) | CMYK( 17, 41, 78,  5)% | dE=0.73
soft-fair-amber            | #F1B86D | RGB(241,184,109) | CMYK(  4, 33, 65,  0)% | dE=0.65
mid-dusty-amber            | #846336 | RGB(132, 99, 54) | CMYK( 35, 52, 85, 37)% | dE=0.00
soft-dusty-amber-03        | #E4BC8A | RGB(228,188,138) | CMYK( 11, 29, 52,  2)% | dE=0.72
soft-dusty-amber           | #B5A088 | RGB(181,160,136) | CMYK( 27, 33, 45, 12)% | dE=0.00
soft-dusty-amber-02        | #AFA287 | RGB(175,162,135) | CMYK( 31, 30, 47, 11)% | dE=0.66
pale-dusty-amber           | #EFE1C5 | RGB(239,225,197) | CMYK(  7, 12, 27,  0)% | dE=0.00
soft-fair-amber-03         | #BDA14C | RGB(189,161, 76) | CMYK( 25, 31, 80, 10)% | dE=0.73
pale-fair-amber            | #FFE087 | RGB(255,224,135) | CMYK(  0, 13, 58,  0)% | dE=0.40
soft-vivid-amber           | #C1A126 | RGB(193,161, 38) | CMYK( 23, 31, 98,  9)% | dE=0.00
soft-vivid-amber-04        | #E3BF47 | RGB(227,191, 71) | CMYK( 12, 23, 84,  2)% | dE=0.71
mid-dusty-amber-04         | #90856A | RGB(144,133,106) | CMYK( 40, 38, 57, 22)% | dE=0.58
mid-dusty-amber-02         | #97844E | RGB(151,132, 78) | CMYK( 36, 38, 75, 23)% | dE=0.37
soft-vivid-amber-03        | #E6BF0F | RGB(230,191, 15) | CMYK( 11, 22,100,  2)% | dE=0.60
deep-dusty-yellow          | #504E35 | RGB( 80, 78, 53) | CMYK( 60, 51, 82, 54)% | dE=0.60
soft-dusty-yellow          | #A9A66C | RGB(169,166,108) | CMYK( 37, 25, 66,  8)% | dE=0.53
pale-dusty-yellow          | #E9E5A8 | RGB(233,229,168) | CMYK( 12,  5, 44,  0)% | dE=0.50
soft-vivid-yellow-02       | #C7C94A | RGB(199,201, 74) | CMYK( 29,  9, 84,  0)% | dE=0.00
mid-dusty-yellow           | #89876B | RGB(137,135,107) | CMYK( 46, 35, 58, 20)% | dE=0.00
mid-fair-yellow            | #898A32 | RGB(137,138, 50) | CMYK( 49, 32, 98, 16)% | dE=0.34
soft-vivid-yellow          | #A6A92A | RGB(166,169, 42) | CMYK( 40, 21,100,  5)% | dE=0.00
soft-dusty-yellow-02       | #A7A588 | RGB(167,165,136) | CMYK( 36, 27, 49,  9)% | dE=0.60
soft-fair-yellow           | #C8C76C | RGB(200,199,108) | CMYK( 27, 13, 70,  1)% | dE=0.34
pale-fair-yellow           | #E9E78A | RGB(233,231,138) | CMYK( 13,  2, 59,  0)% | dE=0.34
soft-vivid-yellow-03       | #C4CA18 | RGB(196,202, 24) | CMYK( 31,  7,100,  0)% | dE=0.53
deep-gray-yellow           | #495038 | RGB( 73, 80, 56) | CMYK( 67, 49, 80, 51)% | dE=0.00
soft-dusty-lime            | #99AA72 | RGB(153,170,114) | CMYK( 46, 21, 65,  5)% | dE=0.31
soft-dusty-lime-02         | #B8C98F | RGB(184,201,143) | CMYK( 35, 10, 55,  0)% | dE=0.48
